2023-01-23 17:22:44.058[1674494564058] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494564058&signature=9d7daafaf2c0f15fdee2febb5db4455e3cd45c0f0dec6b9950226f1ad89c0cbe
2023-01-23 17:22:44.308[1674494564308] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:44.543[1674494564543] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:44.779[1674494564779] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/api/v3/order?symbol=BTCUSDT&side=BUY&type=MARKET&quoteOrderQty=0.0&timestamp=1674494564779&signature=c38a1e7ee6e89a366d75818399d46a9a155a6542a73afc7cf73d70aef79b9c19
2023-01-23 17:22:45.018[1674494565018] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494565017&signature=58b58060963420c291ac2bdd02f3f9d1252f800eb808c99e6e42b69083073e31
2023-01-23 17:22:45.277[1674494565277] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:46.136[1674494566136] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:46.367[1674494566367] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/api/v3/order?symbol=BTCUSDT&side=BUY&type=MARKET&quoteOrderQty=0.0&timestamp=1674494566367&signature=aec1dee5e8e15ad79306b4ce9cbf665249ad597c6af17c3746265ce7c92fc12f
2023-01-23 17:22:46.600[1674494566600] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494566600&signature=7aacee86b3708857e104ff37be4bee95c76447326fee0dc32700a5e547319e3b
2023-01-23 17:22:46.854[1674494566854] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:47.088[1674494567088] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:47.324[1674494567324] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/api/v3/order?symbol=BTCUSDT&side=BUY&type=MARKET&quoteOrderQty=0.0&timestamp=1674494567323&signature=8b51fb50b8df463a971db345a75001c67d94fa4aeb63320f707e17c647fad76d
2023-01-23 17:22:47.560[1674494567560] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494567560&signature=920e59144ce52ad4c5e4029198a9059c9c3487a6d484f88d121a70f1391e1ce2
2023-01-23 17:22:47.833[1674494567833] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:48.068[1674494568068] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:48.299[1674494568299] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/api/v3/order?symbol=BTCUSDT&side=BUY&type=MARKET&quoteOrderQty=0.0&timestamp=1674494568298&signature=763e45514fad102bd5110b286ccdb7aebf1bb61272aedba28b977d4b51db16e1
2023-01-23 17:22:48.529[1674494568529] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494568528&signature=f3e4cfc4698b7741fdc372c5560732ff6bc4b2998c2bd9b21979a2277cb9d192
2023-01-23 17:22:48.775[1674494568775] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:49.010[1674494569010] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:49.244[1674494569244] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/api/v3/order?symbol=BTCUSDT&side=BUY&type=MARKET&quoteOrderQty=0.0&timestamp=1674494569244&signature=a90ee6d3d26884a6a7128dd6827a0e45353c45645d6d7022c265beb9963d0826
2023-01-23 17:22:49.483[1674494569483] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494569483&signature=67d81b556e61221973a8469ea87acea7eda70b11f1c936c4d864b9015d12b950
2023-01-23 17:22:49.731[1674494569731] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:49.972[1674494569972] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:50.208[1674494570208] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/api/v3/order?symbol=BTCUSDT&side=BUY&type=MARKET&quoteOrderQty=0.0&timestamp=1674494570208&signature=adbf8c9c26ea8c95f3d0d36e5d10ad619bf4953a1bc05deff1a4fec931abda20
2023-01-23 17:22:50.442[1674494570442] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494570442&signature=71ee6fa7e4d5ac9d65b637e9f2fb635f0d502b81bc95bb044c28ddbbff391851
2023-01-23 17:22:50.693[1674494570693] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:50.930[1674494570930] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:51.166[1674494571166] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/api/v3/order?symbol=BTCUSDT&side=BUY&type=MARKET&quoteOrderQty=0.0&timestamp=1674494571166&signature=e0d8a860e9c193ddda626c0eb51d4ff58c2032bbdebdd2ac591da87f671654d3
2023-01-23 17:22:51.406[1674494571406] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494571406&signature=cac036d32bda71fd6bd28532ba3593e9aeb5f5e44cd561234e00f7ff0b0e65ef
2023-01-23 17:22:51.652[1674494571652] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:51.887[1674494571887] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:52.132[1674494572132] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/api/v3/order?symbol=BTCUSDT&side=BUY&type=MARKET&quoteOrderQty=0.0&timestamp=1674494572132&signature=55b1101fe5bd6a921103f65890b39a246e9b3f15d90b3f0f5914746ae6fada1f
2023-01-23 17:22:52.367[1674494572367] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/sapi/v3/asset/getUserAsset?timestamp=1674494572367&signature=cf569191a1a0aae857a6e33007fa3f4bf5df82d7d7ae20af2c3cbece17f6a70c
2023-01-23 17:22:52.621[1674494572621] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:52.862[1674494572862] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=10
2023-01-23 17:22:53.094[1674494573094] | INFO  | JavaFX Application Thread | c.b.c.client.utils.RequestHandler    - POST https://api.binance.com/api/v3/order?symbol=BTCUSDT&side=BUY&type=MARKET&quoteOrderQty=0.0&timestamp=1674494573094&signature=51df5149d777929ea214d76b2e2041b4e9b0363cb93c1b96da7e9f65114a793a
